source_csv,WarningCode,a_id,a_commit,a_date,a_message,a_file,a_suppressed_annotation,a_line_no,a_annotation_type,a_diffs,a_pre_commit,a_post_commit,Category,Category explanation,d_id,d_commit,d_date,d_message,d_file,d_suppressed_annotation,d_line_no,d_annotation_type,d_diffs,d_pre_commit,d_post_commit
        Panels.migXLayout(),
        ""[]"", // Columns
        ""[]"" // Rows
      ));

    // Ensure it is accessible
    AccessibilityDecorator.apply(panel, CoreMessageKey.DEBUGGER_ATTACHED);

    PanelDecorator.applyDangerFadedTheme(panel);

    // Add to the panel
    panel.add(Labels.newDebuggerWarningNote(), ""w 350"");

    return panel;
  }

  /**
   * <p>An ""unsupported firmware"" panel displays instructions to the user about a hardware wallet with unsupported firmware (security risk) being attached</p>
   *
   * @return A new ""unsupported firmware"" panel
   */
  public static JPanel newUnsupportedFirmware() {

    JPanel panel = Panels.newPanel(
      new MigLayout(
        Panels.migXLayout(),
        ""[]"", // Columns
        ""[]"" // Rows
      ));

    // Ensure it is accessible
    AccessibilityDecorator.apply(panel, CoreMessageKey.UNSUPPORTED_FIRMWARE_ATTACHED);

    PanelDecorator.applyWarningTheme(panel);

    // Add to the panel
    panel.add(Labels.newUnsupportedFirmwareNote(), ""w 350"");

    return panel;
  }

  /**
   * <p>A ""language change"" panel displays instructions to the user about a language change</p>
   *
   * @return A new ""language change"" panel
   */
  public static JPanel newLanguageChange() {

    JPanel panel = Panels.newPanel(
      new MigLayout(
        Panels.migXLayout(),
        ""[]"", // Columns
        ""[]"" // Rows
      ));

    PanelDecorator.applySuccessFadedTheme(panel);

    // Add to the panel
    panel.add(Labels.newLanguageChangeNote(), ""grow,push"");

    return panel;
  }

  /**
   * <p>A ""restore from backup"" panel displays the instructions to restore from a backup folder</p>
   *
   * @return A new ""restore from backup"" panel
   */
  public static JPanel newRestoreFromBackup() {

    JPanel panel = Panels.newPanel(
      new MigLayout(
        Panels.migXLayout(),
        ""[]"", // Columns
        ""[]"" // Rows
      ));

    // Add to the panel
    panel.add(Labels.newRestoreFromBackupNote(), ""grow,push"");

    return panel;
  }

  /**
   * <p>A ""restore from seed phrase"" panel displays the instructions to restore from a seed phrase</p>
   *
   * @return A new ""restore from seed phrase"" panel
   */
  public static JPanel newRestoreFromSeedPhrase() {

    JPanel panel = Panels.newPanel(
      new MigLayout(
        Panels.migXLayout(),
        ""[]"", // Columns
        ""[]"" // Rows
      ));

    // Add to the panel
    panel.add(Labels.newRestoreFromSeedPhraseNote(), ""grow,push"");

    return panel;
  }

  /**
   * <p>A ""select backup directory"" panel displays the instructions to choose an appropriate backup directory</p>
   *
   * @return A new ""select backup directory"" panel
   */
  public static JPanel newSelectBackupDirectory() {

    JPanel panel = Panels.newPanel(
      new MigLayout(
        Panels.migXLayout(),
        ""[]"", // Columns
        ""[]"" // Rows
      ));

    // Add to the panel
    panel.add(Labels.newSelectBackupLocationNote(), ""grow,push"");

    return panel;
  }

  /**
   * <p>A ""select export payments directory"" panel displays the instructions to choose an appropriate export payments directory</p>
   *
   * @return A new ""select export payments directory"" panel
   */
  public static JPanel newSelectExportPaymentsDirectory() {

    JPanel panel = Panels.newPanel(
      new MigLayout(
        Panels.migXLayout(),
        ""[]"", // Columns
        ""[]"" // Rows
      ));

    // Add to the panel
    panel.add(Labels.newSelectExportPaymentsLocationNote(), ""grow,push"");

    return panel;
  }

  /**
   * New vertical dashed separator
   */
  public static JPanel newVerticalDashedSeparator() {

    JPanel panel = new JPanel();
    panel.setMaximumSize(new Dimension(1, 10000));
    panel.setBorder(BorderFactory.createDashedBorder(Themes.currentTheme.headerPanelBackground(), 5, 5));

    return panel;
  }

  /**
   * <p>Invalidate a panel so that Swing will later redraw it properly with layout changes (normally as a result of a locale change)</p>
   *
   * @param panel The panel to invalidate
   */
  public static void invalidate(JPanel panel) {

    // Added new content so validate/repaint
    panel.validate();
    panel.repaint();

  }

  /**
   * <p>Recursive method to enable or disable the focus on all components in the given container</p>
   * <p>Filters components that cannot have focus by design (e.g. JLabel)</p>
   *
   * @param component  The component
   * @param allowFocus True if the components should be able to gain focus
   */
  private static void allowFocus(final Component component, final boolean allowFocus) {

    // Limit the focus change to those components that could grab it
    if (component instanceof AbstractButton) {
      component.setFocusable(allowFocus);
    }
    if (component instanceof JComboBox) {
      component.setFocusable(allowFocus);
    }
    if (component instanceof JTree) {
      component.setFocusable(allowFocus);
    }
    if (component instanceof JTextComponent) {
      component.setFocusable(allowFocus);
    }
    if (component instanceof JTable) {
      component.setFocusable(allowFocus);
    }

    // Recursive search
    if (component instanceof Container) {
      for (Component child : ((Container) component).getComponents()) {
        allowFocus(child, allowFocus);
      }

    }

  }

}",Technical Debt,Poor encapsulation,,,,,,,,,,,
multibit-hd.csv,DM_EXIT,mh_a_50,964932d85a5452e5ca5fae8892ccc8249ea16747,2015-03-06 13:58:58,findbugs fix,mbhd-swing/src/main/java/org/multibit/hd/ui/MultiBitHD.java,"@SuppressFBWarnings({""DM_EXIT""})",298,Added," @@ -295,6 +295,7 @@ public class MultiBitHD {
     * <p>Once the UI renders, control passes to the <code>MainController</code> to
     * respond to the wizard close event which will trigger ongoing initialisation.</p>
     */
+  @SuppressFBWarnings({""DM_EXIT""})
    public MainView initialiseUIViews() {
      log.debug(""Initialising UI..."");
  ","  public MainView initialiseUIViews() {
    log.debug(""Initialising UI..."");

    Preconditions.checkNotNull(mainController, ""'mainController' must be present. FEST will cause this if another instance is running."");

    final Optional<HardwareWalletService> hardwareWalletService = CoreServices.getOrCreateHardwareWalletService();
    long hardwareInitialisationTime = System.currentTimeMillis();
    // Give MultiBit Hardware a chance to process any attached hardware wallet
    // and for MainController to subsequently process the events
    // The delay observed in reality and FEST tests ranges from 1400-2200ms and is
    // not included results in wiped hardware wallets being missed on startup
    log.debug(""Starting the clock for hardware wallet initialisation"");

    try {
      // Set look and feel
      UIManager.setLookAndFeel(new NimbusLookAndFeel());
    } catch (UnsupportedLookAndFeelException e) {
      try {
        UIManager.setLookAndFeel(UIManager.getCrossPlatformLookAndFeelClassName());
      } catch (ClassNotFoundException | InstantiationException | IllegalAccessException | UnsupportedLookAndFeelException e1) {
        log.error(""No look and feel available. MultiBit HD requires Java 7 or higher."", e1);
        System.exit(-1);
      }
    }

    log.debug(""Switching theme..."");
    // Ensure that we are using the configured theme
    ThemeKey themeKey = ThemeKey.valueOf(Configurations.currentConfiguration.getAppearance().getCurrentTheme());
    Themes.switchTheme(themeKey.theme());

    log.debug(""Building MainView..."");

    // Build a new MainView
    final MainView mainView = new MainView();
    mainController.setMainView(mainView);

    log.debug(""Checking for pre-existing wallets..."");

    // Check for any pre-existing wallets in the application directory
    File applicationDataDirectory = InstallationManager.getOrCreateApplicationDataDirectory();
    List<File> walletDirectories = WalletManager.findWalletDirectories(applicationDataDirectory);

    // Check for fresh install
    boolean showWelcomeWizard = walletDirectories.isEmpty() || !Configurations.currentConfiguration.isLicenceAccepted();

    if (showWelcomeWizard) {
      log.debug(""Wallet directory is empty or no licence accepted"");
    }

    // HardwareWalletService needs HARDWARE_INITIALISATION_TIME milliseconds to initialise so sleep the rest
    conditionallySleep(hardwareInitialisationTime);

    // Check for fresh hardware wallet
    if (hardwareWalletService.isPresent()) {
      if (hardwareWalletService.get().isDeviceReady() && !hardwareWalletService.get().isWalletPresent()) {

        log.debug(""Wiped hardware wallet detected"");

        // Must show the welcome wizard in hardware wallet mode
        // regardless of wallet or licence situation
        // MainController should have handled the events
        showWelcomeWizard = true;
      }
    }

    if (showWelcomeWizard) {
      log.debug(""Showing the welcome wizard"");
      mainView.setShowExitingWelcomeWizard(true);
      mainView.setShowExitingCredentialsWizard(false);
    } else {
      log.debug(""Showing the credentials wizard"");
      mainView.setShowExitingCredentialsWizard(true);
      mainView.setShowExitingWelcomeWizard(false);
    }

    // Provide a backdrop to the user and trigger the showing of the wizard
    mainView.refresh();

    log.debug(""Initialising UI: Refresh complete"");

    // See the MainController wizard hide event for the next stage

    return mainView;
  }","  @SuppressFBWarnings({""DM_EXIT""})
  public MainView initialiseUIViews() {
    log.debug(""Initialising UI..."");

    Preconditions.checkNotNull(mainController, ""'mainController' must be present. FEST will cause this if another instance is running."");

    final Optional<HardwareWalletService> hardwareWalletService = CoreServices.getOrCreateHardwareWalletService();
    long hardwareInitialisationTime = System.currentTimeMillis();
    // Give MultiBit Hardware a chance to process any attached hardware wallet
    // and for MainController to subsequently process the events
    // The delay observed in reality and FEST tests ranges from 1400-2200ms and is
    // not included results in wiped hardware wallets being missed on startup
    log.debug(""Starting the clock for hardware wallet initialisation"");

    try {
      // Set look and feel
      UIManager.setLookAndFeel(new NimbusLookAndFeel());
    } catch (UnsupportedLookAndFeelException e) {
      try {
        UIManager.setLookAndFeel(UIManager.getCrossPlatformLookAndFeelClassName());
      } catch (ClassNotFoundException | InstantiationException | IllegalAccessException | UnsupportedLookAndFeelException e1) {
        log.error(""No look and feel available. MultiBit HD requires Java 7 or higher."", e1);
        System.exit(-1);
      }
    }

    log.debug(""Switching theme..."");
    // Ensure that we are using the configured theme
    ThemeKey themeKey = ThemeKey.valueOf(Configurations.currentConfiguration.getAppearance().getCurrentTheme());
    Themes.switchTheme(themeKey.theme());

    log.debug(""Building MainView..."");

    // Build a new MainView
    final MainView mainView = new MainView();
    mainController.setMainView(mainView);

    log.debug(""Checking for pre-existing wallets..."");

    // Check for any pre-existing wallets in the application directory
    File applicationDataDirectory = InstallationManager.getOrCreateApplicationDataDirectory();
    List<File> walletDirectories = WalletManager.findWalletDirectories(applicationDataDirectory);

    // Check for fresh install
    boolean showWelcomeWizard = walletDirectories.isEmpty() || !Configurations.currentConfiguration.isLicenceAccepted();

    if (showWelcomeWizard) {
      log.debug(""Wallet directory is empty or no licence accepted"");
    }

    // HardwareWalletService needs HARDWARE_INITIALISATION_TIME milliseconds to initialise so sleep the rest
    conditionallySleep(hardwareInitialisationTime);

    // Check for fresh hardware wallet
    if (hardwareWalletService.isPresent()) {
      if (hardwareWalletService.get().isDeviceReady() && !hardwareWalletService.get().isWalletPresent()) {

        log.debug(""Wiped hardware wallet detected"");

        // Must show the welcome wizard in hardware wallet mode
        // regardless of wallet or licence situation
        // MainController should have handled the events
        showWelcomeWizard = true;
      }
    }

    if (showWelcomeWizard) {
      log.debug(""Showing the welcome wizard"");
      mainView.setShowExitingWelcomeWizard(true);
      mainView.setShowExitingCredentialsWizard(false);
    } else {
      log.debug(""Showing the credentials wizard"");
      mainView.setShowExitingCredentialsWizard(true);
      mainView.setShowExitingWelcomeWizard(false);
    }

    // Provide a backdrop to the user and trigger the showing of the wizard
    mainView.refresh();

    log.debug(""Initialising UI: Refresh complete"");

    // See the MainController wizard hide event for the next stage

    return mainView;
  }",Unactionable,intentional design decision for handling fatal startup failures,,,,,,,,,,,
multibit-hd.csv,NP_NONNULL_PARAM_VIOLATION,mh_a_51,abe5859e45978863b47a2a1f56c0b0d36bfa1a8d,2015-03-06 16:16:55,#445 test to produce compliant and non compliant BIP32 wallets,mbhd-core/src/test/java/org/multibit/hd/core/managers/WalletManagerTest.java,"@SuppressFBWarnings({""ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD"", ""NP_NONNULL_PARAM_VIOLATION""})",107,Added,"+  private static final String COMPLIANT_SKIN_ADDRESS_M_0H_0_3 = ""17Czu38CcLwWr8jFZrDJBHWiEDd2QWhPSU"";
+  private static final String COMPLIANT_SKIN_ADDRESS_M_0H_0_4 = ""18dbiNgyHKEY4TtynEDZGEDhS9fdYqeZWG"";
+
+  private NetworkParameters mainNet;
+
+  @SuppressFBWarnings({""ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD"", ""NP_NONNULL_PARAM_VIOLATION""})
    @Before
    public void setUp() throws Exception {
-
      InstallationManager.unrestricted = true;","  @Before
  public void setUp() throws Exception {

    InstallationManager.unrestricted = true;

    Configurations.currentConfiguration = Configurations.newDefaultConfiguration();

    // Start the core services
    CoreServices.main(null);
  }","  @SuppressFBWarnings({""ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD"", ""NP_NONNULL_PARAM_VIOLATION""})
  @Before
  public void setUp() throws Exception {
    InstallationManager.unrestricted = true;

    Configurations.currentConfiguration = Configurations.newDefaultConfiguration();

    // Start the core services
    CoreServices.main(null);

    mainNet = NetworkParameters.fromID(NetworkParameters.ID_MAINNET);
    assertThat(mainNet).isNotNull();
  }",Unactionable,test setup method,,,,,,,,,,,
multibit-hd.csv,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,mh_a_51,abe5859e45978863b47a2a1f56c0b0d36bfa1a8d,2015-03-06 16:16:55,#445 test to produce compliant and non compliant BIP32 wallets,mbhd-core/src/test/java/org/multibit/hd/core/managers/WalletManagerTest.java,"@SuppressFBWarnings({""ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD"", ""NP_NONNULL_PARAM_VIOLATION""})",107,Added,"+  private static final String COMPLIANT_SKIN_ADDRESS_M_0H_0_3 = ""17Czu38CcLwWr8jFZrDJBHWiEDd2QWhPSU"";
+  private static final String COMPLIANT_SKIN_ADDRESS_M_0H_0_4 = ""18dbiNgyHKEY4TtynEDZGEDhS9fdYqeZWG"";
+
+  private NetworkParameters mainNet;
+
+  @SuppressFBWarnings({""ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD"", ""NP_NONNULL_PARAM_VIOLATION""})
    @Before
    public void setUp() throws Exception {
-
      InstallationManager.unrestricted = true;","  @Before
  public void setUp() throws Exception {

    InstallationManager.unrestricted = true;

    Configurations.currentConfiguration = Configurations.newDefaultConfiguration();

    // Start the core services
    CoreServices.main(null);
  }","  @SuppressFBWarnings({""ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD"", ""NP_NONNULL_PARAM_VIOLATION""})
  @Before
  public void setUp() throws Exception {
    InstallationManager.unrestricted = true;

    Configurations.currentConfiguration = Configurations.newDefaultConfiguration();

    // Start the core services
    CoreServices.main(null);

    mainNet = NetworkParameters.fromID(NetworkParameters.ID_MAINNET);
    assertThat(mainNet).isNotNull();
  }",Unactionable,test setup method,,,,,,,,,,,
multibit-hd.csv,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,mh_a_52,46d0e9e9e9abec5a15575cc9f6a2a4715aa75466,2015-03-09 10:46:40,findbugs fixes,mbhd-core/src/test/java/org/multibit/hd/core/testing/payments/PaymentProtocolHttpsServer.java,"@SuppressFBWarnings({""ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD""})",129,Added,"      // Must have failed to be here
 @@ -118,6 +126,7 @@ public class PaymentProtocolHttpsServer {
    /**
     * Remove all entries from the fixture queue and reset the executor service
     */
+  @SuppressFBWarnings({""ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD""})
    public void reset() {
  
      executorService.shutdownNow();","  public void reset() {

    executorService.shutdownNow();
    try {
      executorService.awaitTermination(2, TimeUnit.SECONDS);
    } catch (InterruptedException e) {
      log.warn(""Failed to terminate executor service cleanly"");
    }

    executorService = SafeExecutors.newSingleThreadExecutor(""bip70-server"");

  }","  @SuppressFBWarnings({""ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD""})
  public void reset() {

    executorService.shutdownNow();
    try {
      executorService.awaitTermination(2, TimeUnit.SECONDS);
    } catch (InterruptedException e) {
      log.warn(""Failed to terminate executor service cleanly"");
    }

    executorService = SafeExecutors.newSingleThreadExecutor(""bip70-server"");

  }",Unactionable,test setup method,,,,,,,,,,,
multibit-hd.csv,MS_SHOULD_BE_FINAL,mh_a_55,01199d7e212b33273fbaeae7c031694bc83ffd4a,2015-03-12 18:19:01,#452 first pass of BIP70 payment data support,mbhd-core/src/main/java/org/multibit/hd/core/protobuf/MBHDContactsProtos.java,"@SuppressFBWarnings({""MS_SHOULD_BE_FINAL""})",125,Added,"        implements TagOrBuilder {
 @@ -121,6 +122,7 @@ public final class MBHDContactsProtos {
        return org.multibit.hd.core.protobuf.MBHDContactsProtos.internal_static_Tag_descriptor;
      }
  
+    @SuppressFBWarnings({""MS_SHOULD_BE_FINAL""})
      protected com.google.protobuf.GeneratedMessage.FieldAccessorTable
          internalGetFieldAccessorTable() {
        return org.multibit.hd.core.protobuf.MBHDContactsProtos.internal_static_Tag_fieldAccessorTable
 @@ -340,11 +342,13 @@ public final class MBHDContactsProtos {","    protected com.google.protobuf.GeneratedMessage.FieldAccessorTable
        internalGetFieldAccessorTable() {
      return org.multibit.hd.core.protobuf.MBHDContactsProtos.internal_static_Tag_fieldAccessorTable
          .ensureFieldAccessorsInitialized(
              org.multibit.hd.core.protobuf.MBHDContactsProtos.Tag.class, org.multibit.hd.core.protobuf.MBHDContactsProtos.Tag.Builder.class);
    }","    @SuppressFBWarnings({""MS_SHOULD_BE_FINAL""})
    protected com.google.protobuf.GeneratedMessage.FieldAccessorTable
        internalGetFieldAccessorTable() {
      return org.multibit.hd.core.protobuf.MBHDContactsProtos.internal_static_Tag_fieldAccessorTable
          .ensureFieldAccessorsInitialized(
              org.multibit.hd.core.protobuf.MBHDContactsProtos.Tag.class, org.multibit.hd.core.protobuf.MBHDContactsProtos.Tag.Builder.class);
    }",Unactionable,protobuf-generated,mh_d_9,2c8da73e4a24e2b89ed8ead302239f84eb6f47cb,2015-03-17 9:54:38,#452 BIP70 payment requests now persist,mbhd-core/src/main/java/org/multibit/hd/core/protobuf/MBHDContactsProtos.java,"@SuppressFBWarnings({""MS_SHOULD_BE_FINAL""})",125,Deleted,"        implements TagOrBuilder {
 @@ -122,7 +122,6 @@ public final class MBHDContactsProtos {
        return org.multibit.hd.core.protobuf.MBHDContactsProtos.internal_static_Tag_descriptor;
      }
  
-    @SuppressFBWarnings({""MS_SHOULD_BE_FINAL""})
      protected com.google.protobuf.GeneratedMessage.FieldAccessorTable
          internalGetFieldAccessorTable() {
        return org.multibit.hd.core.protobuf.MBHDContactsProtos.internal_static_Tag_fieldAccessorTable
 @@ -342,13 +341,11 @@ public final class MBHDContactsProtos {","    @SuppressFBWarnings({""MS_SHOULD_BE_FINAL""})
    protected com.google.protobuf.GeneratedMessage.FieldAccessorTable
        internalGetFieldAccessorTable() {
      return org.multibit.hd.core.protobuf.MBHDContactsProtos.internal_static_Tag_fieldAccessorTable
          .ensureFieldAccessorsInitialized(
              org.multibit.hd.core.protobuf.MBHDContactsProtos.Tag.class, org.multibit.hd.core.protobuf.MBHDContactsProtos.Tag.Builder.class);
    }","    protected com.google.protobuf.GeneratedMessage.FieldAccessorTable
        internalGetFieldAccessorTable() {
      return org.multibit.hd.core.protobuf.MBHDContactsProtos.internal_static_Tag_fieldAccessorTable
          .ensureFieldAccessorsInitialized(
              org.multibit.hd.core.protobuf.MBHDContactsProtos.Tag.class, org.multibit.hd.core.protobuf.MBHDContactsProtos.Tag.Builder.class);
    }"
multibit-hd.csv,MS_SHOULD_BE_FINAL,mh_a_59,01199d7e212b33273fbaeae7c031694bc83ffd4a,2015-03-12 18:19:01,#452 first pass of BIP70 payment data support,mbhd-core/src/main/java/org/multibit/hd/core/protobuf/MBHDContactsProtos.java,"@SuppressFBWarnings({""MS_SHOULD_BE_FINAL""})",914,Added,"        implements ContactOrBuilder {
 @@ -906,6 +911,7 @@ public final class MBHDContactsProtos {
        return org.multibit.hd.core.protobuf.MBHDContactsProtos.internal_static_Contact_descriptor;
      }
  
+    @SuppressFBWarnings({""MS_SHOULD_BE_FINAL""})
      protected com.google.protobuf.GeneratedMessage.FieldAccessorTable
          internalGetFieldAccessorTable() {
        return org.multibit.hd.core.protobuf.MBHDContactsProtos.internal_static_Contact_fieldAccessorTable
 @@ -2861,6 +2867,7 @@ public final class MBHDContactsProtos {","    protected com.google.protobuf.GeneratedMessage.FieldAccessorTable
        internalGetFieldAccessorTable() {
      return org.multibit.hd.core.protobuf.MBHDContactsProtos.internal_static_Contact_fieldAccessorTable
          .ensureFieldAccessorsInitialized(
              org.multibit.hd.core.protobuf.MBHDContactsProtos.Contact.class, org.multibit.hd.core.protobuf.MBHDContactsProtos.Contact.Builder.class);
    }","    @SuppressFBWarnings({""MS_SHOULD_BE_FINAL""})
    protected com.google.protobuf.GeneratedMessage.FieldAccessorTable
        internalGetFieldAccessorTable() {
      return org.multibit.hd.core.protobuf.MBHDContactsProtos.internal_static_Contact_fieldAccessorTable
          .ensureFieldAccessorsInitialized(
              org.multibit.hd.core.protobuf.MBHDContactsProtos.Contact.class, org.multibit.hd.core.protobuf.MBHDContactsProtos.Contact.Builder.class);
    }",Unactionable,protobuf-generated,mh_d_12,2c8da73e4a24e2b89ed8ead302239f84eb6f47cb,2015-03-17 9:54:38,#452 BIP70 payment requests now persist,mbhd-core/src/main/java/org/multibit/hd/core/protobuf/MBHDContactsProtos.java,"@SuppressFBWarnings({""MS_SHOULD_BE_FINAL""})",914,Deleted,"        implements ContactOrBuilder {
 @@ -911,7 +907,6 @@ public final class MBHDContactsProtos {
        return org.multibit.hd.core.protobuf.MBHDContactsProtos.internal_static_Contact_descriptor;
      }
  
-    @SuppressFBWarnings({""MS_SHOULD_BE_FINAL""})
      protected com.google.protobuf.GeneratedMessage.FieldAccessorTable
          internalGetFieldAccessorTable() {
        return org.multibit.hd.core.protobuf.MBHDContactsProtos.internal_static_Contact_fieldAccessorTable
 @@ -2867,7 +2862,6 @@ public final class MBHDContactsProtos {","    @SuppressFBWarnings({""MS_SHOULD_BE_FINAL""})
    protected com.google.protobuf.GeneratedMessage.FieldAccessorTable
        internalGetFieldAccessorTable() {
      return org.multibit.hd.core.protobuf.MBHDContactsProtos.internal_static_Contact_fieldAccessorTable
          .ensureFieldAccessorsInitialized(
              org.multibit.hd.core.protobuf.MBHDContactsProtos.Contact.class, org.multibit.hd.core.protobuf.MBHDContactsProtos.Contact.Builder.class);
    }","    protected com.google.protobuf.GeneratedMessage.FieldAccessorTable
        internalGetFieldAccessorTable() {
      return org.multibit.hd.core.protobuf.MBHDContactsProtos.internal_static_Contact_fieldAccessorTable
          .ensureFieldAccessorsInitialized(
              org.multibit.hd.core.protobuf.MBHDContactsProtos.Contact.class, org.multibit.hd.core.protobuf.MBHDContactsProtos.Contact.Builder.class);
    }"
multibit-hd.csv,MS_SHOULD_BE_FINAL,mh_a_61,01199d7e212b33273fbaeae7c031694bc83ffd4a,2015-03-12 18:19:01,#452 first pass of BIP70 payment data support,mbhd-core/src/main/java/org/multibit/hd/core/protobuf/MBHDContactsProtos.java,"@SuppressFBWarnings({""MS_SHOULD_BE_FINAL""})",2947,Added,"        implements ContactsOrBuilder {
 @@ -2937,6 +2944,7 @@ public final class MBHDContactsProtos {
        return org.multibit.hd.core.protobuf.MBHDContactsProtos.internal_static_Contacts_descriptor;
      }
  
+    @SuppressFBWarnings({""MS_SHOULD_BE_FINAL""})
      protected com.google.protobuf.GeneratedMessage.FieldAccessorTable
          internalGetFieldAccessorTable() {
        return org.multibit.hd.core.protobuf.MBHDContactsProtos.internal_static_Contacts_fieldAccessorTable","    protected com.google.protobuf.GeneratedMessage.FieldAccessorTable
        internalGetFieldAccessorTable() {
      return org.multibit.hd.core.protobuf.MBHDContactsProtos.internal_static_Contacts_fieldAccessorTable
          .ensureFieldAccessorsInitialized(
              org.multibit.hd.core.protobuf.MBHDContactsProtos.Contacts.class, org.multibit.hd.core.protobuf.MBHDContactsProtos.Contacts.Builder.class);
    }","    @SuppressFBWarnings({""MS_SHOULD_BE_FINAL""})
    protected com.google.protobuf.GeneratedMessage.FieldAccessorTable
        internalGetFieldAccessorTable() {
      return org.multibit.hd.core.protobuf.MBHDContactsProtos.internal_static_Contacts_fieldAccessorTable
          .ensureFieldAccessorsInitialized(
              org.multibit.hd.core.protobuf.MBHDContactsProtos.Contacts.class, org.multibit.hd.core.protobuf.MBHDContactsProtos.Contacts.Builder.class);
    }",Unactionable,protobuf-generated,mh_d_14,2c8da73e4a24e2b89ed8ead302239f84eb6f47cb,2015-03-17 9:54:38,#452 BIP70 payment requests now persist,mbhd-core/src/main/java/org/multibit/hd/core/protobuf/MBHDContactsProtos.java,"@SuppressFBWarnings({""MS_SHOULD_BE_FINAL""})",2947,Deleted,"        implements ContactsOrBuilder {
 @@ -2944,7 +2938,6 @@ public final class MBHDContactsProtos {
        return org.multibit.hd.core.protobuf.MBHDContactsProtos.internal_static_Contacts_descriptor;
      }
  
-    @SuppressFBWarnings({""MS_SHOULD_BE_FINAL""})
      protected com.google.protobuf.GeneratedMessage.FieldAccessorTable
          internalGetFieldAccessorTable() {
        return org.multibit.hd.core.protobuf.MBHDContactsProtos.internal_static_Contacts_fieldAccessorTable","    @SuppressFBWarnings({""MS_SHOULD_BE_FINAL""})
    protected com.google.protobuf.GeneratedMessage.FieldAccessorTable
        internalGetFieldAccessorTable() {
      return org.multibit.hd.core.protobuf.MBHDContactsProtos.internal_static_Contacts_fieldAccessorTable
          .ensureFieldAccessorsInitialized(
              org.multibit.hd.core.protobuf.MBHDContactsProtos.Contacts.class, org.multibit.hd.core.protobuf.MBHDContactsProtos.Contacts.Builder.class);
    }","    protected com.google.protobuf.GeneratedMessage.FieldAccessorTable
        internalGetFieldAccessorTable() {
      return org.multibit.hd.core.protobuf.MBHDContactsProtos.internal_static_Contacts_fieldAccessorTable
          .ensureFieldAccessorsInitialized(
              org.multibit.hd.core.protobuf.MBHDContactsProtos.Contacts.class, org.multibit.hd.core.protobuf.MBHDContactsProtos.Contacts.Builder.class);
    }"
